02 · Elements / Inventory Items,,,,,,,
"Registra qué existe. Type usa el baseline M0 congelado. Family se deja libre porque es una taxonomía extensible, no una lista cerrada.",,,,,,,
,,,,,,,
element_id_ref,name,type,family,brand,source,provenance,notes
E021,Traje Azul Abotonadura sencilla,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=39; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E022,Maesa cross vest,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=40; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E023,Triomphe in shiny calfskin jade,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=41; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E024,Wool & silk crêpe couture mini dress,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=42; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E025,Martin Luther King Flannel,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=43; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E026,Galaxy Z Flip 7,PRODUCT,Electronics,Samsung,IMPORTED,Legacy Project 12 object_id=44; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E027,Germanier AW22 Collection,PRODUCT,Fashion,Germanier,IMPORTED,Legacy Project 12 object_id=45; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated.
E028,Silk twill giraffe-print shirt dress 1990s,PRODUCT,Fashion,,IMPORTED,Legacy Project 12 object_id=46; imported from hotspot analysis export,Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E029,[AI] Flower,OBJECT,Home & Living,,IMPORTED,Legacy Project 12 object_id=103; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E030,[AI] Vase,OBJECT,Home & Living,,IMPORTED,Legacy Project 12 object_id=104; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E031,[AI] Desk,OBJECT,Furniture,,IMPORTED,Legacy Project 12 object_id=105; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label. High-density legacy track; exhaustive Appearance reconciliation still requires source-level migration QA.
E032,[AI] Cup,OBJECT,Food & Beverage,,IMPORTED,Legacy Project 12 object_id=106; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label. High-density legacy track; exhaustive Appearance reconciliation still requires source-level migration QA.
E033,[AI] Handbag/Satchel,OBJECT,Fashion,,IMPORTED,Legacy Project 12 object_id=107; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E034,[AI] Cabinet/shelf,OBJECT,Furniture,,IMPORTED,Legacy Project 12 object_id=108; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E035,[AI] Glasses,OBJECT,Fashion,,IMPORTED,Legacy Project 12 object_id=109; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
E036,[AI] Cake,OBJECT,Food & Beverage,,IMPORTED,Legacy Project 12 object_id=118; imported from hotspot analysis export; legacy label contains [AI] (preserved as provenance only),Type/family normalized from the legacy label as a reviewable inference; canonical identity not validated. Brand left blank unless explicit in the source label.
