01 · Scenes,,,,,,,,
Define las escenas. Key Contexts se asignan a Scene; usa hasta 3 listas desplegables si hay varios.,,,,,,,,
,,,,,,,,
scene_id_ref,position,name,start_time,end_time,key_context_1,key_context_2,key_context_3,notes
S19,19,Paris streets & monuments,00:11:58:00,00:12:04:00,Travel,,,"Eiffel Tower at sunset, Seine River, bridge, boats, Paris skyline, establishing shot"
S20,20,Sylvie talking with her team,00:12:04:00,00:12:48:00,Technology,,,"Office interior, two people on smartphones, desks, books, office furniture"
S21,21,Emily in her work office talking with her US boss,00:12:48:00,00:13:29:00,Fashion,Technology,,"Office interior, woman using smartphone, desktop computer, fashion outfit, artwork"
S22,22,Emily meets Luc at a bar by the Seine River,00:13:29:00,00:14:42:00,Food & Beverage,Travel,,"Outdoor café terrace by the Seine, Flore en L'Ile signage, Berthillon signage, drinks, tables, bicycles, riverside setting"
S23,23,Paris streets & monuments,00:14:42:00,00:14:45:00,Travel,,,"Jardin des Tuileries, Ferris wheel, gardens, flowers, Paris establishing shot"
S24,24,Emily and her US boss meet Luc in the Savoir office,00:14:45:00,00:16:32:00,Fashion,,,"Office meeting, fashion outfits/accessories, large pink water bottle, handbag, notebooks, desk lamp"
S25,25,Paris streets & monuments,00:16:32:00,00:16:37:00,Travel,,,"Trocadéro, Palais de Chaillot, La Défense skyline, Paris aerial establishing shot"
S26,26,Emily goes to a fashion party inside the Louvre,00:16:37:00,00:23:17:00,Fashion,Luxury,,"Fashion event/party, statement designer outfits, formal guests, upscale venue interior"
S27,27,Sylvie in her apartment reading press,00:23:17:00,00:23:34:00,Technology,Home & Living,,"Interior workspace/apartment, smartphone communication, on-screen message overlay, mug, books/papers, desk"
S28,28,Sylvie meets Nicolas de Leon in an upscale restaurant,00:23:34:00,00:24:53:00,Luxury,Food & Beverage,Travel,"Upscale restaurant/lounge, coffee cups and glassware, formal meeting, panoramic Paris skyline"
S29,29,Paris streets & monuments,00:24:53:00,00:24:58:00,Travel,,,"Arc de Triomphe, Champs-Élysées, Paris aerial skyline, establishing shot"
S30,30,"Sylvie, Luc & Julien meet at a terrace bar",00:24:58:00,00:26:25:00,Food & Beverage,Travel,,"Le Temps des Cerises café/restaurant, outdoor terrace, drinks, diners, street musician, Rue Cerisaie signage, Paris street"
S31,31,Paris streets & monuments,00:26:25:00,00:26:32:00,Travel,,,"Eiffel Tower at night, illuminated Paris skyline, city lights, aerial establishing shot"
S32,32,Emily is at a venue with her friends; Mindy is singing,00:26:32:00,00:30:09:00,Food & Beverage,Fashion,,"Live music venue/bar, audience, beer and drinks, evening social gathering, performance/event environment"
S33,33,Credits,00:30:09:00,00:31:06:00,,,,"End credits, white text on black background"
S34,34,Netflix logo,00:31:06:00,00:31:11:00,,,,"Netflix logo, black background"
